command,status,returncode,start,end,log
JHEP_Revised/config/madgraph_runs/Tt1200-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:09:00,2026-05-28T15:10:57,JHEP_Revised/logs/mg5_queue/Tt1200-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt1200ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:10:57,2026-05-28T15:12:55,JHEP_Revised/logs/mg5_queue/Tt1200ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt1200_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:12:55,2026-05-28T15:14:53,JHEP_Revised/logs/mg5_queue/Tt1200_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt1600-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:14:53,2026-05-28T15:16:55,JHEP_Revised/logs/mg5_queue/Tt1600-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt1600ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:16:55,2026-05-28T15:18:57,JHEP_Revised/logs/mg5_queue/Tt1600ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt1600_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:18:57,2026-05-28T15:20:56,JHEP_Revised/logs/mg5_queue/Tt1600_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2000-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:20:56,2026-05-28T15:23:25,JHEP_Revised/logs/mg5_queue/Tt2000-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2000ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:23:25,2026-05-28T15:25:28,JHEP_Revised/logs/mg5_queue/Tt2000ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2000_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:25:28,2026-05-28T15:27:22,JHEP_Revised/logs/mg5_queue/Tt2000_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2400-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:27:22,2026-05-28T15:29:48,JHEP_Revised/logs/mg5_queue/Tt2400-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2400ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:29:48,2026-05-28T15:31:41,JHEP_Revised/logs/mg5_queue/Tt2400ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/Tt2400_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:31:41,2026-05-28T15:33:33,JHEP_Revised/logs/mg5_queue/Tt2400_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttbar-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:33:33,2026-05-28T15:34:56,JHEP_Revised/logs/mg5_queue/ttbar-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttbarISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:34:56,2026-05-28T15:36:26,JHEP_Revised/logs/mg5_queue/ttbarISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttbar_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:36:26,2026-05-28T15:37:46,JHEP_Revised/logs/mg5_queue/ttbar_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/tth-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:37:46,2026-05-28T15:39:29,JHEP_Revised/logs/mg5_queue/tth-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/tthISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:39:29,2026-05-28T15:41:05,JHEP_Revised/logs/mg5_queue/tthISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/tth_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:41:05,2026-05-28T15:42:37,JHEP_Revised/logs/mg5_queue/tth_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttz-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:42:37,2026-05-28T15:49:07,JHEP_Revised/logs/mg5_queue/ttz-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttzISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:49:07,2026-05-28T15:55:19,JHEP_Revised/logs/mg5_queue/ttzISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/ttz_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:55:19,2026-05-28T16:01:29,JHEP_Revised/logs/mg5_queue/ttz_80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/w_w-z-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T16:01:29,2026-05-28T16:05:21,JHEP_Revised/logs/mg5_queue/w_w-z-80ISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/w_w-zISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T16:05:21,2026-05-28T16:09:10,JHEP_Revised/logs/mg5_queue/w_w-zISR_isronlyll_nev10000.log
JHEP_Revised/config/madgraph_runs/w_w-z_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T16:09:10,2026-05-28T16:12:56,JHEP_Revised/logs/mg5_queue/w_w-z_80ISR_isronlyll_nev10000.log
